"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get exercise","LMS service","Mon May 04 15:05:34 UTC 2026","passed","Mon May 04 15:05:34 UTC 2026","Get entity","Exercises","",""
"","296","Delete file","LMS service","Mon May 04 15:05:37 UTC 2026","passed","Mon May 04 15:05:37 UTC 2026","Delete entity","Files","",""
"","285","Login with correct email and password","LMS service","Mon May 04 15:05:30 UTC 2026","passed","Mon May 04 15:05:30 UTC 2026","Login","Authentication","",""
"","554","Create user","LMS service","Mon May 04 15:05:38 UTC 2026","passed","Mon May 04 15:05:39 UTC 2026","Create entity","Users","",""
"","22","Delete exercise","LMS service","Mon May 04 15:05:35 UTC 2026","passed","Mon May 04 15:05:35 UTC 2026","Delete entity","Exercises","",""
"","559","Create user","LMS service","Mon May 04 15:05:39 UTC 2026","passed","Mon May 04 15:05:39 UTC 2026","Create entity","Users","",""
"","21","Create file","LMS service","Mon May 04 15:05:35 UTC 2026","passed","Mon May 04 15:05:35 UTC 2026","Create entity","Files","",""
"","22","Update exercise","LMS service","Mon May 04 15:05:33 UTC 2026","passed","Mon May 04 15:05:33 UTC 2026","Update entity","Exercises","",""
"","561","Create user","LMS service","Mon May 04 15:05:39 UTC 2026","passed","Mon May 04 15:05:39 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon May 04 15:05:40 UTC 2026","passed","Mon May 04 15:05:40 UTC 2026","Get entity","Users","",""
"","32","Create course","LMS service","Mon May 04 15:05:32 UTC 2026","passed","Mon May 04 15:05:32 UTC 2026","Create entity","Courses","",""
"","268","Get file with incorrect file id","LMS service","Mon May 04 15:05:38 UTC 2026","passed","Mon May 04 15:05:39 UTC 2026","Validate entity","Files","",""
"","300","Create exercise","LMS service","Mon May 04 15:05:33 UTC 2026","passed","Mon May 04 15:05:33 UTC 2026","Create entity","Exercises","",""
"","303","Update course","LMS service","Mon May 04 15:05:31 UTC 2026","passed","Mon May 04 15:05:31 UTC 2026","Update entity","Courses","",""
"","268","Create file with empty filename","LMS service","Mon May 04 15:05:37 UTC 2026","passed","Mon May 04 15:05:38 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Mon May 04 15:05:37 UTC 2026","passed","Mon May 04 15:05:37 UTC 2026","Get entity","Files","",""
"","286","Get exercises","LMS service","Mon May 04 15:05:35 UTC 2026","passed","Mon May 04 15:05:35 UTC 2026","Get entities","Exercises","",""
"","269","Create file with empty directory","LMS service","Mon May 04 15:05:38 UTC 2026","passed","Mon May 04 15:05:38 UTC 2026","Validate entity","Files","",""
"","299","Get courses","LMS service","Mon May 04 15:05:31 UTC 2026","passed","Mon May 04 15:05:32 UTC 2026","Get entities","Courses","",""
